bookid,title,authorid,genreid,publisheddate,isbn,pages
1,Automated holistic standardization,27,61,2014-02-14,978-1-81309-190-4,885
2,Pre-emptive incremental artificial intelligence,59,24,2009-02-06,978-0-532-49597-0,136
3,Cross-platform 24hour frame,81,47,2022-05-11,978-1-82018-040-0,815
4,Automated tangible Local Area Network,30,77,2017-01-22,978-0-465-07253-8,472
5,Programmable maximized synergy,98,4,2011-09-25,978-0-288-28431-6,385
6,Balanced full-range focus group,79,48,2003-01-10,978-1-310-33792-5,511
7,Up-sized 5thgeneration artificial intelligence,31,100,2004-03-30,978-0-441-42310-1,389
8,Ergonomic needs-based installation,36,18,2015-07-10,978-0-234-57504-8,391
9,Front-line background flexibility,23,61,2002-09-06,978-1-346-11425-5,483
10,Triple-buffered holistic workforce,97,98,2006-10-24,978-1-4566-2020-2,779
11,Open-architected logistical open architecture,8,14,2011-09-01,978-1-73044-930-7,584
12,Seamless interactive protocol,53,100,2004-07-08,978-1-5316-2721-8,919
13,Streamlined contextually-based frame,62,90,2022-09-03,978-0-333-00877-5,525
14,Innovative directional paradigm,36,47,2001-11-17,978-0-7040-8706-4,668
15,Profound real-time toolset,60,5,2002-11-20,978-0-675-81856-8,410
16,Persevering contextually-based portal,58,80,2014-06-01,978-0-556-83802-9,362
17,Focused national moratorium,30,44,2005-03-18,978-0-7070-0649-9,135
18,Reactive full-range product,64,19,2011-03-02,978-1-57966-998-0,998
19,Vision-oriented systematic structure,23,98,2010-11-10,978-1-269-53060-6,187
20,Fundamental systemic strategy,8,57,2013-09-16,978-1-5388-0419-3,879
21,Exclusive tertiary collaboration,98,41,2023-02-20,978-1-00-496788-9,551
22,Devolved scalable data-warehouse,68,13,2016-02-26,978-1-181-08029-6,293
23,Grass-roots user-facing utilization,96,100,2011-02-08,978-1-09-762311-2,485
24,Exclusive bi-directional toolset,37,36,2022-04-25,978-1-5200-7906-6,749
25,Exclusive optimizing success,64,5,2004-07-20,978-1-83849-412-4,392
26,Customer-focused optimal projection,95,42,2015-11-28,978-1-74554-251-2,657
27,Virtual asynchronous workforce,37,42,2010-06-14,978-1-354-79617-7,349
28,Monitored interactive paradigm,93,46,2011-05-07,978-0-260-06066-2,941
29,Fully-configurable directional hierarchy,84,90,2016-07-15,978-0-597-79143-7,509
30,Realigned stable task-force,46,42,2004-03-11,978-1-63202-613-2,751
31,Innovative tangible definition,11,91,2010-09-05,978-0-611-20012-9,463
32,User-centric multi-state Internet solution,82,92,2009-10-20,978-0-05-722871-8,577
33,Assimilated zero administration algorithm,15,39,2006-01-22,978-0-07-328867-3,550
34,Operative content-based policy,44,69,2000-05-15,978-0-429-73637-7,348
35,Self-enabling responsive groupware,33,2,2009-04-28,978-1-4102-1729-5,327
36,Upgradable real-time archive,67,48,2017-03-10,978-0-522-19051-9,636
